,index,hotbit,gaussian
402,402.0,-2839.760746711922,
403,403.0,-2839.7606861655404,
404,404.0,-2839.7174384835976,
405,405.0,-2839.697316831877,
406,406.0,-2839.670450666373,
407,407.00000000000006,-2839.64531515942,
408,407.99999999999994,-2839.644261557997,
409,408.99999999999994,-2839.6394823101577,
410,410.0,-2839.63215716584,
411,411.0,-2839.62524025819,
412,412.0,-2839.62166661246,
413,413.0,-2839.6165662090407,
414,414.0,-2839.6036739448523,
415,415.0,-2839.5988681148106,
416,416.0,-2839.591458257924,
417,417.00000000000006,-2839.591050239298,
418,418.00000000000006,-2839.5813907264105,
419,418.99999999999994,-2839.564183510134,
420,420.0,-2839.559823868911,
421,421.0,-2839.5529322424754,
422,422.0,-2839.549564791055,
423,423.0,-2839.546199160862,
424,424.0,-2839.5253822791965,
425,425.0,-2839.517187794778,
426,426.0,-2839.504620515071,
427,427.0,-2839.496032754674,
428,428.00000000000006,-2839.484081110481,
429,429.00000000000006,-2839.4705953000716,
430,429.99999999999994,-2839.469782727418,
431,431.0,-2839.4665045941647,
432,432.0,-2839.464960050998,
433,433.0,-2839.4592441988966,
434,434.0,-2839.448781864304,
435,435.0,-2839.4471419952465,
436,436.0,-2839.4415813353703,
437,437.0,-2839.438358892448,
438,438.0,-2839.4350880060456,
439,439.00000000000006,-2839.4345862535656,
440,440.00000000000006,-2839.4319244589187,
441,440.99999999999994,-2839.4263768838746,
442,442.0,-2839.417316737112,
443,443.0,-2839.416326407282,
444,444.0,-2839.4160686122596,
445,445.0,-2839.415043849939,
446,446.0,-2839.4095570394693,
447,447.0,-2839.4008094282167,
448,448.0,-2839.393080664304,
449,449.0,-2839.3875734123626,
450,450.00000000000006,-2839.38561516629,
451,451.00000000000006,-2839.375636797853,
452,451.99999999999994,-2839.372733400993,
453,453.0,-2839.3661716395427,
454,454.0,-2839.365812099333,
455,455.0,-2839.363843992646,
456,456.0,-2839.36102602915,
457,457.0,-2839.359680243801,
458,458.0,-2839.3592682390035,
459,459.0,-2839.35775861636,
460,460.0,-2839.3527730908163,
461,461.00000000000006,-2839.343356845393,
462,461.99999999999994,-2839.3420377441043,
463,462.99999999999994,-2839.339479455568,
464,464.0,-2839.337763417407,
465,465.0,-2839.3372209775857,
466,466.0,-2839.333830044005,
467,467.0,-2839.330660959805,
468,468.0,-2839.3215801442825,
469,469.0,-2839.3187079844083,
470,470.0,-2839.31596340965,
471,471.0,-2839.310380392997,
472,472.00000000000006,-2839.308862755191,
473,472.99999999999994,-2839.306070708919,
474,473.99999999999994,-2839.299487264712,
475,475.0,-2839.285261128946,
476,476.0,-2839.285186127455,
477,477.0,-2839.282559244763,
478,478.0,-2839.281059792186,
479,479.0,-2839.279574777577,
480,480.0,-2839.278716571176,
481,481.0,-2839.278178999961,
